meetinghouse_id,assignment_id,assignment_type,assignment_name
5376912-01-01,194182,ward,Elm Creek Ward
5376912-01-01,196517,ward,Maple Grove Ward
5376912-01-01,37842,ward,Shingle Creek Ward
5376912-01-01,517836,stake,Anoka Minnesota Stake
5376912-01-01,517836,stakecenter,Anoka Minnesota Stake
5059992-02-01,51616,ward,Bergland Branch
5059992-02-01,419753,familysearchcenter,Bergland Ontario Family History Center
5460204-01-01,239208,ward,Chesterfield Ward
5460204-01-01,1581570,ward,Republic Ward
5460204-01-01,384291,ward,Southern Hills Ward
5460204-01-01,523356,stake,Springfield Missouri South Stake
5460204-01-01,523356,stakecenter,Springfield Missouri South Stake
5460204-01-01,3371867,familysearchcenter,Springfield Missouri South Family History Center
5213703-01-01,96644,ward,Juarez Ward
5381622-01-01,251879,ward,Lo Marcoleta Ward
5381622-01-01,536997,ward,Lo Ovalle Ward
5383897-01-01,201804,ward,Seixal Ward
5383897-01-01,392936,familysearchcenter,Seixal Portugal Family History Center
5333385-01-01,167282,ward,Fairview Branch
5167833-01-01,60399,ward,Concordia Branch
5167833-01-01,425249,ward,Nebel Branch
5167833-01-01,612626,stake,Concordia Argentina District
5167833-01-01,612626,stakecenter,Concordia Argentina District
5167833-01-01,468797,familysearchcenter,Concordia Argentina Family History Center
5411165-01-01,324620,ward,Buena Esperanza Ward
5352282-01-01,389633,ward,Country Lane Ward
5352282-01-01,555533,ward,Stone Creek Ward
5352282-01-01,121835,ward,Westlake Ward
5004799-01-01,68039,ward,Sunderland Ward
5004799-01-01,504114,stake,Sunderland England Stake
5004799-01-01,504114,stakecenter,Sunderland England Stake
5004799-01-01,390119,familysearchcenter,Sunderland England Family History Center
5272203-01-01,479683,ward,Cub River Ward
5272203-01-01,28096,ward,Mapleton Ward
5150302-01-01,195901,ward,Mesquite Ward
5150302-01-01,75884,ward,Skyline Ward
5150302-01-01,167738,ward.spanish,Rio Trinidad Ward (Spanish)
5236002-01-01,39330,ward,Emporia Ward
5236002-01-01,3334481,familysearchcenter,Emporia Kansas Family History Center
5812127-01-01,70394,ward,Bergen Ward
5812127-01-01,396370,familysearchcenter,Bergen Norway Family History Center
5015573-01-01,227617,ward.seasonal,Old Faithful Branch (Seasonal)
5187842-01-01,132608,ward,Sarmiento Ward
5000505-01-01,74705,ward,Toronto Ward
5105625-01-01,182087,ward,La Esperanza Ward
5105625-01-01,243434,ward,La Florida Ward
5105625-01-01,521833,stake,Tacna Perú Arias Aragüez Stake
5105625-01-01,521833,stakecenter,Tacna Perú Arias Aragüez Stake
5105625-01-01,467758,familysearchcenter,Tacna Perú Arias Araguez Family History Center
5008912-01-01,2023105,ward,Gjakova Branch
5184126-01-01,94021,ward,Westland  2nd Ward
5184126-01-01,195146,ward,Westland  4th Ward
5184126-01-01,254827,ward.spanish,Westland  5th Ward (Spanish)
5225221-01-01,139866,ward,Buena Vista Ward
5128412-01-01,23418,ward,Englewood  1st Ward
5128412-01-01,94544,ward,Summitview Ward
5128412-01-01,2036576,ward.spanish,Englewood 2nd Branch (Spanish)
5011653-01-01,250694,ward,Huazolotitlan Branch
5016628-01-01,325120,ward,Santa Juana Branch
5947804-01-01,204552,ward,La Espiga Ward
5947804-01-01,616516,stake,San Vicente El Salvador Stake
5947804-01-01,616516,stakecenter,San Vicente El Salvador Stake
5947804-01-01,419532,familysearchcenter,San Vicente El Salvador Family History Center
5009677-01-01,181021,ward,Brandon Ward
5009677-01-01,2075342,ward,Providence Ward
5035163-01-01,51187,ward,Leavitt Ward
5318084-01-01,2145502,ward,Anaji Ward
5318084-01-01,1057111,ward,East Tanokrom Ward
5318084-01-01,247766,ward,West Tanokrom Ward
5318084-01-01,2025574,familysearchcenter,West Tanokrom Ghana Family History Center
5206421-01-01,119709,ward,Wright Ward
5248132-01-01,158151,ward,Belfast Branch
5481449-01-01,242950,ward,Cobble Creek  1st Ward
5481449-01-01,418226,ward,Cobble Creek  4th Ward
5481449-01-01,1164368,ward.ysa,Copper Hills YSA Ward
5176549-01-01,140562,ward,Lakepa Ward
5192056-01-01,114375,ward,Aviación Ward
5192056-01-01,278939,ward,Sauzalito Ward
5486211-01-01,109010,ward,Cortaro Ward
5486211-01-01,180963,ward,Greasewood Ward
5486211-01-01,231436,ward,River Crossing Ward
5486211-01-01,277010,ward.spanish,El Rio Ward (Spanish)
5000918-01-01,260924,ward,White Sands Branch
5375487-01-01,241954,ward,Cullumber Ward
5375487-01-01,360589,ward,Silver Creek Ward
5375487-01-01,187585,ward.spanish,Gilbert  11th Ward (Spanish)
9500022-01-01,247049,ward,Garfield Branch (Care Center)
5228875-01-01,137855,ward,Nuevo México Ward
5228875-01-01,184802,ward,Residencial Ward
5459486-01-01,229849,ward,Campo Comprido Ward
5459486-01-01,471283,ward,Ferraria Ward
5459486-01-01,2140802,ward,Jardim Gabineto Ward
5307937-01-01,120367,ward,Motul 1st Ward
5174406-01-01,105961,ward,Olavarría Ward
5174406-01-01,524298,stake,Salta Argentina West Stake
5174406-01-01,524298,stakecenter,Salta Argentina West Stake
5174406-01-01,403504,familysearchcenter,Salta Argentina Oeste Family History Center
5508630-01-01,214361,ward,Shawnee Branch
5508630-01-01,1217178,familysearchcenter,Shawnee Kentucky Family History Center
5007965-01-01,353078,ward,Osório Branch
5054419-01-01,97764,ward,Lehi 12th Ward
5054419-01-01,536830,ward,Lehi 39th Ward
5054419-01-01,2096404,ward.samoan,Saratoga Springs 12th Ward (Samoan)
5991228-01-01,2123703,ward,Jardim Vetorasso Ward
5991228-01-01,172618,ward,São José do Rio Preto 2nd Ward
5250900-01-01,140112,ward,Santiago Atitlán Ward
5032318-02-01,7757,ward,Harrisville  1st Ward
5032318-02-01,97608,ward,Harrisville 2nd Ward
5237718-01-01,133574,ward,Elche  1st Ward
5237718-01-01,295531,ward,Elche  2nd Ward
5237718-01-01,527556,stake,Elche Spain Stake
5237718-01-01,527556,stakecenter,Elche Spain Stake
5237718-01-01,393916,familysearchcenter,Elche Spain Family History Center
5054958-01-01,122793,ward,Battle Creek Ward
5054958-01-01,3366375,familysearchcenter,Battle Creek Michigan Family History Center
9500332-01-01,190306,ward,Holladay Healthcare Center Branch (Care Center)
5265789-01-01,430102,ward,Los Cerritos Branch
5265789-01-01,303801,ward,Riberalta Branch
5265789-01-01,469394,familysearchcenter,Riberalta Bolivia Family History Center
5131227-01-01,68608,ward,Pontypridd Ward
5009273-01-01,2113759,ward,Cazenga Branch
5009273-01-01,343552,ward,Terra Nova Ward
5132924-01-01,44210,ward,Brunswick Ward
5132924-01-01,3332926,familysearchcenter,Brunswick Georgia Family History Center
5492246-01-01,207896,ward,El Boulevard Branch
5501466-01-01,350753,ward,El Jardín Ward
5036690-01-01,173169,ward,Raymond 7th Ward
5036690-01-01,1550497,ward,Raymond 9th Ward
5036690-01-01,500518,stake,Raymond Alberta Stake
5036690-01-01,500518,stakecenter,Raymond Alberta Stake
5328578-01-01,122777,ward,Monte Verde Ward
5129400-01-01,78638,ward,Marikina  1st Ward
5129400-01-01,513717,stake,Marikina Philippines Stake
5129400-01-01,513717,stakecenter,Marikina Philippines Stake
5129400-01-01,404861,familysearchcenter,Marikina Philippines Family History Center
5245907-01-01,317292,ward,Murupara Branch
5204984-01-01,179213,ward,Taytay  1st Ward
5204984-01-01,299421,ward,Taytay  2nd Ward
5204984-01-01,2108437,ward,Taytay 3rd Ward
5204984-01-01,527750,stake,Taytay Philippines Stake
5204984-01-01,527750,stakecenter,Taytay Philippines Stake
5204984-01-01,405337,familysearchcenter,Taytay Philippines Family History Center
5919991-01-01,259683,ward,Hospital Branch
5012447-01-01,2064944,ward,Nungua 3rd Ward
5010941-02-01,2087391,ward,Meadow Ranch Ward
5010941-02-01,2089580,ward,South Mountain Ward
5010941-02-01,237108,ward,Westview Ward
5269695-01-01,302740,ward,La Flor Branch
5177995-01-01,96776,ward,Fukui Ward
5291739-01-01,78123,ward,Cannock Ward
5941857-01-01,1147803,ward,Aurora Vista Ward
5941857-01-01,2038560,ward,Lookout Ridge Ward
5941857-01-01,2157128,stake,Herriman Utah Blackridge Stake
5941857-01-01,2157128,stakecenter,Herriman Utah Blackridge Stake
5000432-01-01,198137,ward,Waipahu  2nd Ward
5000432-01-01,429864,ward.marshallese,Waipahu 3rd Branch (Marshallese)
5000432-01-01,77542,ward.samoan,Waipahu  1st Ward (Samoan)
5000432-01-01,218731,ward.tongan,Newtown 2nd Ward (Tongan)
5000432-01-01,506230,stake,Waipahu Hawaii Stake
5000432-01-01,506230,stakecenter,Waipahu Hawaii Stake
5000432-01-01,3333442,familysearchcenter,Waipahu Hawaii Family History Center
5493242-01-01,56421,ward,San Andrés de la Cal Ward
5017456-01-01,302945,ward,Nacozari Sonora Branch
5267919-01-01,1083465,ward,Doña Ana Ward
5267919-01-01,127280,ward,Las Colinas Ward
5267919-01-01,194778,ward,Picacho Ward
5267919-01-01,507210,stake,Las Cruces New Mexico Stake
5267919-01-01,507210,stakecenter,Las Cruces New Mexico Stake
5278503-01-01,215384,ward,Adobe Villa Ward
5278503-01-01,246980,ward,Viewpoint Ward
5023912-01-01,2058421,ward,Brussels Grimbergen Ward
5023912-01-01,177091,ward.french,Brussels Central Ward
5023912-01-01,2120364,ward.spanish,Ixelles Branch (Spanish)
5023912-01-01,509051,stake,Brussels Belgium Stake
5023912-01-01,509051,stakecenter,Brussels Belgium Stake
5023912-01-01,391956,familysearchcenter,Brussels Belgium Family History Center
5507812-01-01,361488,ward,Big Sky Branch
5049415-01-01,9903,ward,Edgemont  4th Ward
5049415-01-01,74780,ward,Edgemont  6th Ward
5496101-01-01,251224,ward,Mauazinho Ward
5129036-01-01,2137208,ward,Bay View Ward
5129036-01-01,94110,ward,Bow Hill Ward
5129036-01-01,219606,ward,North Cascades Ward
5007028-01-01,2004348,ward,Lokoa Ward
5007028-01-01,1463772,ward,Niangon 5th Ward
5341477-01-01,320226,ward,Nsawam Branch
5341477-01-01,552704,familysearchcenter,Nsawam Ghana Family History Center
5566436-01-01,299057,ward,General T. de Leon 1st Ward
5566436-01-01,2138239,ward,General T. de Leon 2nd Ward
5441641-01-01,256838,ward,Tres Cerritos Ward
5441641-01-01,105988,ward,Vicente Sola Ward
5272017-01-01,125857,ward,Colonial Park Ward
5272017-01-01,170534,ward,Meadowland Ward
5204461-01-01,358827,ward,Santa Fe Ward
5204461-01-01,266736,ward,Sun Valley Ward
5204461-01-01,210862,ward,Windrose Park Ward
5204461-01-01,518611,stake,Peoria Arizona Stake
5204461-01-01,518611,stakecenter,Peoria Arizona Stake
5019071-01-01,2064219,ward,Wapi Branch
5340284-01-01,135135,ward,Imirim Ward
5678404-01-01,189340,ward,New Boston Ward
5120861-01-01,48623,ward,Welch Branch
5124581-01-01,83607,ward,Favona Road 1st Ward
5124581-01-01,343730,ward,Yates Road Ward
5124581-01-01,203262,ward.tongan,Isileli  1st Ward (Tongan)
5124581-01-01,525480,stake,Auckland New Zealand Papatoetoe Stake
5124581-01-01,525480,stakecenter,Auckland New Zealand Papatoetoe Stake
5124581-01-01,413615,employmentcenter,Auckland New Zealand Self-Reliance Center
5124581-01-01,2122030,familysearchcenter,Auckland New Zealand Papatoetoe Family History Center
5861703-01-01,279145,ward,Charqueadas Branch
5280206-01-01,118869,ward,Cancún Ward
5011483-01-01,2048523,ward,Adegbayi Ward
5011565-01-01,2050633,ward,Ponta Verde Branch
5304636-01-01,289086,ward,Croix-des-Bouquets 1st Ward
5304636-01-01,1979922,ward,Croix-des-Bouquets 2nd Ward
5331196-01-01,312932,ward,Unare Ward
5057620-01-01,38288,ward,Barron Ward
5057620-01-01,3335496,familysearchcenter,Barron Wisconsin Family History Center
5012403-01-01,1145193,ward,Bori Branch
5012403-01-01,2070774,ward,Nortem Branch
5553407-01-01,363588,ward,Pilgrims Landing  1st Ward
5553407-01-01,379247,ward,Pilgrims Landing  2nd Ward
5553407-01-01,421421,ward,Pilgrims Landing  3rd Ward
5553407-01-01,2132451,ward.spanish,Lehi 51st Ward (Spanish)
5284732-01-01,164852,ward,Campo Belo Ward
5266521-01-01,127485,ward,Kempton Park Ward
5266521-01-01,1490575,familysearchcenter,Kempton Park South Africa Family History Center
5770688-01-01,356263,ward,Nampa 16th Ward
5770688-01-01,425095,ward,Nampa 23rd Ward
5770688-01-01,476013,ward,Nampa 33rd Ward
5770688-01-01,443727,ward.ysa,Nampa YSA 1st Ward
5770688-01-01,466808,stake,Nampa Idaho North Stake
5770688-01-01,2151316,stake.ysa,Nampa Idaho YSA Stake
5770688-01-01,466808,stakecenter,Nampa Idaho North Stake
5770688-01-01,2151316,stakecenter,Nampa Idaho YSA Stake
5770688-01-01,476315,institute,Nampa Idaho Institute
5009997-01-01,2066467,ward,Ibo Town Branch
5003604-01-01,NA,NA,NA
